Cargo,Experiência,Salário
Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,de R$ 4.001/mês a R$ 6.000/mês
Cientista de Dados/Data Scientist,Pleno,de R$ 12.001/mês a R$ 16.000/mês
,,
Cientista de Dados/Data Scientist,Sênior,de R$ 12.001/mês a R$ 16.000/mês
Analista de Suporte/Analista Técnico,Júnior,de R$ 4.001/mês a R$ 6.000/mês
Product Manager/ Product Owner (PM/APM/DPM/GPM/PO),Júnior,de R$ 2.001/mês a R$ 3.000/mês
Analista de BI/BI Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês
Acima de 3.000,FALSE,
Área da Saúde,de 501 a 1.000,TRUE
Área da Saúde,de 501 a 1.000,TRUE
Cientista de Dados/Data Scientist,Pleno,de R$ 12.001/mês a R$ 16.000/mês
Analista de Dados/Data Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês
Outra Opção,Sênior,de R$ 4.001/mês a R$ 6.000/mês
 CDO, CIO," CTO etc)"""
Pará (PA),PA,Norte
Cientista de Dados/Data Scientist,Júnior,de R$ 4.001/mês a R$ 6.000/mês
Outra Opção,Pleno,de R$ 4.001/mês a R$ 6.000/mês
 CDO, CIO," CTO etc)"""
Professor,Pleno,de R$ 3.001/mês a R$ 4.000/mês
Acima de 3.000,TRUE,Gerente/Head
,,de R$ 30.001/mês a R$ 40.000/mês
Analista de Dados/Data Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês
Outra Opção,Júnior,de R$ 1.001/mês a R$ 2.000/mês
de 101 a 500,FALSE,
Analista de BI/BI Analyst,Júnior,de R$ 2.001/mês a R$ 3.000/mês
Cientista de Dados/Data Scientist,Pleno,de R$ 6.001/mês a R$ 8.000/mês
de 1.001 a 3.000,TRUE,Supervisor/Coordenador
Outras Engenharias (não inclui dev),Júnior,de R$ 4.001/mês a R$ 6.000/mês
,,
Educação,de 501 a 1.000,FALSE
Outra opção,Servidor Público,Setor Público
